[2024-12-12 05:27:25,216][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:25,424][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:25,629][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:25,837][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:26,046][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:26,254][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:26,462][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:26,670][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:26,877][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:27,086][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:27,294][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:27,502][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:27,708][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:27,913][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:28,120][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:28,328][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
